variable,importance
col_5,0.000626821177315
col_72,0.000612771575772
col_134,0.000578391990391
col_111,0.000574321361651
col_128,0.000554959956741
col_26,0.000512429399534
col_54,0.000511971075585
col_41,0.00049031041825
col_127,0.000477195027008
col_1,0.000469262198272
std,0.000460464574935
var,0.000453486759775
col_59,0.000446355661719
col_66,0.00041028841321
col_47,0.000408862092926
location_id,0.000395498652821
col_22,0.000292868729202
view_2016-10-22,0.000188054017462
view_2016-10-12,0.000180061807041
view_2016-10-13,0.000166530581472
view_2016-09-26,0.000163622217917
view_2016-10-17,0.000152403803479
view_2016-09-24,0.000145459530689
view_2016-10-23,0.000142814473337
view_2016-10-16,0.00013889365777
view_2016-10-15,0.000124179117327
view_2016-10-24,0.00011615678811
view_2016-10-19,0.000115837442624
view_2016-10-21,0.000111160307978
view_2016-09-21,0.000102519646219
score__4.0,0.000101331021635
view_2016-09-25,0.000101086480282
view_2016-10-11,9.88072016621e-05
comment_cnt,9.426490005e-05
weather_2016-10-30,9.33339146451e-05
view_2016-10-20,8.88133755508e-05
view_2016-10-14,8.79398539359e-05
view_2016-09-23,8.33037833401e-05
view_2016-09-22,7.92387190861e-05
view_2016-09-20,7.7529714057e-05
view_2016-10-18,6.87975513629e-05
city_name__其他城市,6.71536577042e-05
weather_2016-10-18,5.81757360176e-05
weather_2016-10-23,5.37980191661e-05
weather_2016-10-14,4.23324694053e-05
cate_3_name__面点,4.11217515776e-05
cate_2_name__小吃,4.0259001315e-05
score__1.0,3.94591563135e-05
weather_2016-10-13,3.74882283905e-05
weather_2016-10-16,3.56265643261e-05
weather_2016-10-25,3.54167369533e-05
weather_2016-10-24,3.53018915612e-05
per_pay__5,3.52552276363e-05
weather_2016-10-17,3.5246145347e-05
weather_2016-10-15,3.50739584149e-05
per_pay__1,3.24253724143e-05
weather_2016-10-27,3.21049606607e-05
score__3.0,3.03444733691e-05
weather_2016-10-29,2.96236334269e-05
shop_level__1,2.79571524896e-05
city_name__上海,2.62081912961e-05
weather_2016-10-31,2.59447949303e-05
per_pay__19,2.47716449534e-05
weather_2016-10-28,2.46514790287e-05
weather_2016-10-11,2.3270505591e-05
weather_2016-10-26,2.26110565923e-05
city_name__杭州,2.19398581475e-05
weather_2016-10-12,2.06138422796e-05
weather_2016-09-20,2.03719679431e-05
weather_2016-10-19,1.97836787873e-05
cate_2_name__快餐,1.93744037748e-05
score__2.0,1.72633758399e-05
shop_level__0,1.6622170988e-05
cate_1_name__超市便利店,1.62892897044e-05
cate_1_name__美食,1.53629070448e-05
cate_3_name__其他,1.50415603664e-05
ids_stable_period_1,1.46966209033e-05
weather_2016-09-26,1.4124991599e-05
weather_2016-10-22,1.40487919575e-05
cate_2_name__超市,1.30884530544e-05
cate_3_name__其它小吃,1.29918933054e-05
weather_2016-10-20,1.26993732093e-05
score__-1.0,1.26212285612e-05
shop_level__2,1.1510763128e-05
cate_2_name__便利店,1.13220972569e-05
ids_stable_period_2,1.11089025285e-05
per_pay__18,1.09254811604e-05
city_name__武汉,1.06311680866e-05
score__0.0,9.23461181859e-06
cate_3_name__西式快餐,8.41918858495e-06
weather_2016-09-23,8.06614282504e-06
ids_stable_period_3,7.46420620801e-06
cate_3_name__生鲜水果,7.38910330836e-06
weather_2016-09-25,7.14952763531e-06
cate_2_name__休闲食品,6.90273441884e-06
weather_2016-09-22,6.75207477483e-06
cate_3_name__中式快餐,6.50161727537e-06
weather_2016-09-24,6.24210153894e-06
city_name__广州,6.09698074335e-06
weather_2016-09-21,6.08400905614e-06
per_pay__3,5.99058753634e-06
per_pay__2,5.96917719012e-06
per_pay__20,5.03738333664e-06
city_name__南京,4.98746516767e-06
cate_2_name__休闲茶饮,4.98670758933e-06
per_pay__9,4.85408725436e-06
cate_2_name__烘焙糕点,4.29165566252e-06
per_pay__17,4.28596556329e-06
city_name__北京,4.22989722832e-06
per_pay__10,2.92845246215e-06
cate_2_name__其他美食,2.66314983661e-06
per_pay__16,2.43185422445e-06
city_name__深圳,2.31199128219e-06
ids_no_stable_period,2.24996366848e-06
