variable,importance
col_132,0.000436071955255
col_0,0.000415172982626
wave_model2_4,0.000384126555742
col_128,0.000333328161023
col_66,0.000300326379716
col_64,0.000290681652183
col_71,0.000290522637942
col_56,0.000274830434122
col_126,0.000262756078971
cate_2_name__小吃,0.000242389631372
col_133,0.000236569087698
col_52,0.000235879300764
weather_2016-10-14,0.000225127722201
view_2016-10-22,0.000224982963697
location_id,0.000214891285136
col_65,0.000212124990472
col_41,0.000204201372846
view_2016-10-21,0.000201883178433
weather_2016-10-30,0.00019971008781
view_2016-10-12,0.000189795529878
view_2016-10-18,0.000185865589308
col_70,0.000184051395734
col_45,0.000180627841895
col_6,0.000171371937386
col_1,0.000170711969246
score__1.0,0.00017010640314
col_22,0.000164560180388
view_2016-10-16,0.000164414864569
weather_2016-10-23,0.000158941473763
cate_2_name__快餐,0.000155555966435
weather_2016-10-24,0.000141212316891
col_63,0.000138051357629
weather_2016-10-19,0.000136601088823
view_2016-10-17,0.000135702837211
score__3.0,0.000132196959994
weather_2016-10-27,0.000130431275286
col_26,0.000129411526337
weather_2016-10-11,0.000129073385462
city_name__上海,0.00012518320942
view_2016-09-26,0.000123505443106
per_pay__19,0.000123498870963
weather_2016-10-25,0.000120199579851
shop_level__1,0.000119014014574
view_2016-10-11,0.000115721903
weather_2016-10-12,0.00011399685463
per_pay__1,0.000113263144934
weather_2016-10-26,0.00011188535775
per_pay__5,0.000109515347324
weather_2016-10-15,0.00010515445638
weather_2016-10-29,0.000104087974033
weather_2016-10-31,0.00010277273933
weather_2016-10-13,0.000102549615926
comment_cnt,0.000101898965383
weather_2016-09-20,0.000100153444619
view_2016-09-24,9.81723715621e-05
view_2016-10-15,9.34915608918e-05
shop_level__0,9.12653422229e-05
weather_2016-10-16,8.95210637388e-05
weather_2016-10-28,8.90018358319e-05
ids_stable_period_2,8.74599639805e-05
view_2016-10-13,8.69848202524e-05
view_2016-09-25,8.50879729364e-05
view_2016-10-23,8.45001117724e-05
view_2016-10-19,8.24869823314e-05
view_2016-09-23,8.14312240609e-05
cate_3_name__其他,7.91947782782e-05
weather_2016-10-20,7.88084031592e-05
score__2.0,7.81464498159e-05
score__-1.0,7.71085595791e-05
view_2016-10-24,7.59757647043e-05
